damageLevel,hurt,collapse,deltaP,ammoQuantity,outerSideLength,outerSideWidth,outerHeight,roofThick,wallThick,soilThick,liningPlateThick
1,2.48E-06,0,4.97E-06,4,6,7,5,1.5,1,2,0.35
1,1.15E-06,0,2.31E-06,2,6,7,7.5,1.5,1,2,0.35
3,0.3036,0.1527,1.28E-05,7,7.5,7,3.5,1.5,1.5,2,0.4
4,0.90131795,0.0962,0.10131795,14,7,7,7.5,1.5,0.5,2,0.3
2,0.1722,0.0648,1.92E-06,4,7.5,7,5,1.5,0.5,2,0.35
3,0.3412,0.1809,1.21E-05,4,4.5,7,4.5,1.5,1,2,0.35
1,7.20E-07,0,1.43E-06,7,8,7,5.5,1.5,0.5,2,0.4
1,1.37E-06,0,2.75E-06,5,10.5,7,4,1.5,1,2,0.4
4,0.67531848,0.224,0.07191481,25,10,7,7.5,1.5,0.5,2,0.15
4,1,0.001,0.95765771,15,6,7,2,1.5,1.5,2,0.35
1,3.73E-06,0,7.47E-06,1,9,7,3,1.5,1,2,0.35
1,1.50E-06,0,2.99E-06,3,7,7,5.5,1.5,1,2,0.35
2,0.18285,0.0719,5.52E-06,1,9.5,7,4,1.5,1.5,2,0.15
2,0.2169,0.0946,1.45E-05,3,8.5,7,3,1.5,1.5,2,0.3
1,7.38E-06,0,1.48E-05,1,8.5,7,2.5,1.5,1,2,0.3
1,3.73E-06,0,7.47E-06,4,5.5,7,4.5,1.5,1,2,0.4
4,1,0.3516,0.22841195,21,8.5,7,5,1.5,1.5,2,0.2
2,0.17085,0.0639,2.68E-06,6,10,7,3.5,1.5,0.5,2,0.4
1,1.71E-05,0,3.42E-05,9,7,7,2,1.5,0.5,2,0.35
1,1.74E-06,0,3.48E-06,7,8.5,7,3.5,1.5,0.5,2,0.4
4,1,0.3357,0.23257692,24,9.5,7,3.5,1.5,1,2,0.35
1,2.71E-05,0,5.42E-05,3,9.5,7,2,1.5,1.5,2,0.3
1,4.10E-07,0,8.30E-07,1,8.5,7,7,1.5,0.5,2,0.25
3,0.44026667,0.2552,4.43E-05,6,4,7,3,1.5,1,2,0.45
1,3.41E-06,0,6.82E-06,6,6.5,7,5.5,1.5,1.5,2,0.4
1,6.50E-07,0,1.30E-06,1,6,7,7.5,1.5,0.5,2,0.45
1,3.67E-05,0,7.35E-05,9,4.5,7,2,1.5,0.5,2,0.35
1,1.52E-06,0,3.04E-06,1,6.5,7,4.5,1.5,0.5,2,0.25
3,0.39746667,0.2231,2.27E-05,5,5,7,4.5,1.5,1.5,2,0.4
2,0.2451,0.1134,1.33E-05,7,9,7,2.5,1.5,1,2,0.4
2,0.28515,0.1401,1.03E-05,4,6.5,7,4.5,1.5,1.5,2,0.25
3,0.34946667,0.1871,2.94E-06,6,6.5,7,6,1.5,1,2,0.2
1,2.13E-06,0,4.26E-06,1,7.5,7,3.5,1.5,0.5,2,0.25
2,0.16605,0.0607,1.68E-06,9,9.5,7,5.5,1.5,1,2,0.45
4,1,0.4274,0.34945062,24,5.5,7,5.5,1.5,1.5,2,0.1
4,1,0.1487,0.34945062,23,5.5,7,5.5,1.5,1.5,2,0.4
4,1,0.2625,0.32473456,22,5.5,7,6,1.5,1.5,2,0.25
4,1,0.195,0.20523421,20,7.5,7,6.5,1.5,1.5,2,0.25
2,0.15615,0.0541,2.16E-06,6,10,7,6,1.5,1.5,2,0.3
4,1,0.5128,0.42336897,9,6,7,4,1.5,1.5,2,0.15
2,0.24825,0.1155,9.30E-06,2,10.5,7,3,1.5,1.5,2,0.2
2,0.17025,0.0635,2.55E-06,5,10,7,5.5,1.5,1.5,2,0.3
2,0.2253,0.1002,4.34E-06,10,6.5,7,7,1.5,1.5,2,0.45
4,0.91716216,0.1717,0.11716216,12,8.5,7,5.5,1.5,0.5,2,0.2
4,0.98339908,0.1561,0.18339908,8,9,7,4.5,1.5,1,2,0.2
4,1,0.2399,0.23925824,23,7,7,6,1.5,1.5,2,0.3
2,0.18,0.07,4.38E-06,5,9.5,7,3,1.5,0.5,2,0.25
1,5.13E-06,0,1.03E-05,2,10,7,3,1.5,1.5,2,0.3
2,0.1965,0.081,3.62E-06,3,5.5,7,6.5,1.5,1,2,0.2
1,1.52E-06,0,3.04E-06,2,8.5,7,6,1.5,1.5,2,0.2
4,0.98339908,0.2838,0.18339908,24,8,7,5,1.5,1,2,0.35
2,0.1566,0.0544,2.18E-06,7,7,7,6.5,1.5,1,2,0.4
1,6.50E-07,0,1.31E-06,2,8.5,7,7,1.5,1,2,0.3
1,2.31E-06,0,4.63E-06,2,4.5,7,5,1.5,0.5,2,0.45
4,1,0.3018,0.54115776,15,10,7,2,1.5,1,2,0.1
4,0.98182467,0.0496,0.18182467,10,10.5,7,4,1.5,1,2,0.45
4,1,0.0004,0.63829292,8,5,7,2.5,1.5,1,2,0.35
4,0.9303668,0.137,0.1303668,16,8.5,7,5,1.5,0.5,2,0.45
1,1.37E-05,0,2.75E-05,3,4.5,7,2.5,1.5,0.5,2,0.45
1,1.15E-06,0,2.31E-06,6,10,7,4.5,1.5,1,2,0.45
1,0.1449,0.0483,9.50E-07,6,9.5,7,7.5,1.5,1,2,0.3
1,1.15E-06,0,2.31E-06,1,9,7,6.5,1.5,1.5,2,0.35
4,0.99594516,0.3119,0.19594516,25,9,7,3.5,1.5,0.5,2,0.25
3,0.37186667,0.2039,1.82E-05,6,5,7,5,1.5,1.5,2,0.3
4,0.94083415,0.0845,0.14083415,6,9,7,7.5,1.5,1.5,2,0.2
1,5.40E-05,0,0.00010807,1,4,7,3.5,1.5,1.5,2,0.2
2,0.1662,0.0608,2.79E-06,8,8,7,5,1.5,1,2,0.4
